SN20150528123933 Miller test unit tz UTC,startMinute,0,minutes per hour,60
1471633628,2016-8-19 19:7:8,75,2107.40,16.72
1471633629,2016-8-19 19:7:9,0,2106.60,16.71
1471633629,2016-8-19 19:7:9,25,2105.70,16.71
1471633629,2016-8-19 19:7:9,50,2104.30,16.71
1471633629,2016-8-19 19:7:9,75,2101.70,16.71
1471633630,2016-8-19 19:7:10,0,2100.30,16.71
1471633630,2016-8-19 19:7:10,25,2097.80,16.71
1471633630,2016-8-19 19:7:10,50,2096.40,16.71
1471633630,2016-8-19 19:7:10,75,2094.40,16.71
1471633631,2016-8-19 19:7:11,0,2091.80,16.71
1471633631,2016-8-19 19:7:11,25,2091.50,16.71
1471633631,2016-8-19 19:7:11,50,2089.80,16.71
1471633631,2016-8-19 19:7:11,75,2088.70,16.71
1471633632,2016-8-19 19:7:12,0,2087.50,16.71
1471633632,2016-8-19 19:7:12,25,2087.00,16.71
1471633632,2016-8-19 19:7:12,50,2087.00,16.71
1471633632,2016-8-19 19:7:12,75,2086.40,16.71
1471633633,2016-8-19 19:7:13,0,2086.70,16.70
1471633633,2016-8-19 19:7:13,25,2087.20,16.70
1471633633,2016-8-19 19:7:13,50,2087.20,16.71
1471633633,2016-8-19 19:7:13,75,2088.40,16.71
1471633634,2016-8-19 19:7:14,0,2090.10,16.71
1471633634,2016-8-19 19:7:14,25,2090.10,16.70
1471633634,2016-8-19 19:7:14,50,2091.20,16.70
1471633634,2016-8-19 19:7:14,75,2091.50,16.70
1471633635,2016-8-19 19:7:15,0,2092.90,16.70
1471633635,2016-8-19 19:7:15,25,2093.50,16.70
1471633635,2016-8-19 19:7:15,50,2093.50,16.70
1471633635,2016-8-19 19:7:15,75,2092.90,16.70
1471633636,2016-8-19 19:7:16,0,2093.20,16.71
1471633636,2016-8-19 19:7:16,25,2091.80,16.70
1471633636,2016-8-19 19:7:16,50,2091.80,16.70
1471633636,2016-8-19 19:7:16,75,2090.40,16.70
1471633637,2016-8-19 19:7:17,0,2089.50,16.70
1471633637,2016-8-19 19:7:17,25,2088.10,16.70
1471633637,2016-8-19 19:7:17,50,2086.90,16.70
1471633637,2016-8-19 19:7:17,75,2087.50,16.70
1471633638,2016-8-19 19:7:18,0,2086.10,16.70
1471633638,2016-8-19 19:7:18,25,2085.20,16.70
1471633638,2016-8-19 19:7:18,50,2084.90,16.70
1471633638,2016-8-19 19:7:18,75,2086.10,16.69
1471633639,2016-8-19 19:7:19,0,2086.10,16.70
1471633639,2016-8-19 19:7:19,25,2086.90,16.69
1471633639,2016-8-19 19:7:19,50,2087.50,16.70
1471633639,2016-8-19 19:7:19,75,2088.90,16.70
1471633640,2016-8-19 19:7:20,0,2090.00,16.69
1471633640,2016-8-19 19:7:20,25,2090.60,16.69
1471633640,2016-8-19 19:7:20,50,2091.70,16.69
1471633640,2016-8-19 19:7:20,75,2093.20,16.69
1471633641,2016-8-19 19:7:21,0,2092.60,16.69
1471633641,2016-8-19 19:7:21,25,2092.90,16.69
1471633641,2016-8-19 19:7:21,50,2092.30,16.69
1471633641,2016-8-19 19:7:21,75,2092.60,16.69
1471633642,2016-8-19 19:7:22,0,2090.90,16.69
1471633642,2016-8-19 19:7:22,25,2090.60,16.69
1471633642,2016-8-19 19:7:22,50,2089.50,16.69
1471633642,2016-8-19 19:7:22,75,2088.00,16.69
1471633643,2016-8-19 19:7:23,0,2086.90,16.68
1471633643,2016-8-19 19:7:23,25,2087.50,16.69
1471633643,2016-8-19 19:7:23,50,2087.50,16.68
1471633643,2016-8-19 19:7:23,75,2088.30,16.68
1471633644,2016-8-19 19:7:24,0,2089.70,16.68
1471633644,2016-8-19 19:7:24,25,2092.00,16.69
1471633644,2016-8-19 19:7:24,50,2093.70,16.68
1471633644,2016-8-19 19:7:24,75,2095.70,16.68
1471633645,2016-8-19 19:7:25,0,2098.00,16.68
1471633645,2016-8-19 19:7:25,25,2101.40,16.68
1471633645,2016-8-19 19:7:25,50,2103.10,16.68
1471633645,2016-8-19 19:7:25,75,2105.90,16.68
1471633646,2016-8-19 19:7:26,0,2107.60,16.68
1471633646,2016-8-19 19:7:26,25,2108.20,16.68
